url,url_hash,title,seendate,domain,language,sourcecountry,query_keyword,query_group,collect_date
https://www.arabnews.com/node/2651361/middle-east,916a1f30895725a1b5fe0daaed0cfc95,Iran Guards say two oil tankers explode after hitting mines in Hormuz,20260718T030000Z,arabnews.com,English,Saudi Arabia,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.moneycontrol.com/world/why-the-strait-of-hormuz-has-become-iran-s-biggest-bargaining-chip-article-13977388.html,6f777da7b6e5ce93d05a41721542dd7d,Why the Strait of Hormuz has become Iran biggest bargaining chip,20260718T101500Z,moneycontrol.com,English,India,Strait of Hormuz,D1_초크포인트,2026-07-18
https://finance.yahoo.com/energy/articles/south-korea-bets-red-sea-113000140.html,7e3f7b8127b81ae3135484105f3cb9bd,South Korea Bets on Red Sea Route as Hormuz Disruptions Persist,20260718T131500Z,finance.yahoo.com,English,United States,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.bbc.co.uk/news/articles/cy748n8zx8ro,486c37bd0c762553b9a85509817ab4a9,US strikes hit Iran for seventh consecutive night,20260718T030000Z,bbc.co.uk,English,United Kingdom,Strait of Hormuz,D1_초크포인트,2026-07-18
https://news3lv.com/news/nation-world/us-military-launches-seventh-consecutive-night-of-strikes-in-iran-targets-infrastructure-us-central-command-bridges-power,ae3b109f05b71f2392d5570ef47f3ee2,"US military launches seventh consecutive night of strikes in Iran , targets infrastructure",20260718T001500Z,news3lv.com,English,United States,Strait of Hormuz,D1_초크포인트,2026-07-18
https://aninews.in/news/world/us/centcom-dismisses-iranian-claims-of-tanker-mine-blasts-in-strait-of-hormuz20260718075715/,fbdd4bd7d4fb4b0076b9f5ae00e10159,CENTCOM dismisses Iranian claims of tanker mine blasts in Strait of Hormuz,20260718T030000Z,aninews.in,English,India,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.bssnews.net/international/406636,7714ce1e6c82221a6b6e7b7d7f0f59e4,US - Iran strikes : latest developments,20260718T050000Z,bssnews.net,English,Bangladesh,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.middleeasteye.net/live-blog/live-blog-update/hormuz-traffic-falls-three-week-low-marinetraffic-says,06fe6b62f954f00d507ed2b664a12af4,"Hormuz traffic falls to three - week low , MarineTraffic says",20260718T043000Z,middleeasteye.net,English,Israel,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.yahoo.com/news/world/articles/iran-says-struck-us-command-101118781.html,ccc81dece455f07df6f0ff29c9b09b0f,"US completes seventh night of strikes in Iran , officials say",20260718T100000Z,yahoo.com,English,United States,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.moneycontrol.com/world/us-expands-iran-offensive-with-port-bridge-strikes-tehran-fires-missiles-across-gulf-article-13977180.html,5acc2c4c543754ad98224cb09e27e64a,"US expands Iran offensive with port , bridge strikes ; Tehran fires missiles across Gulf",20260718T031500Z,moneycontrol.com,English,India,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.freepressjournal.in/india/centre-approves-key-ias-iras-appointments-under-central-staffing-scheme-officers-posted-to-shipping-ministry-mha,7b62c9b079179ace82a0be22ba007524,Centre Approves Key IAS & IRAS Appointments Under Central Staffing Scheme ; Officers Posted To Shipping Ministry & MHA,20260718T044500Z,freepressjournal.in,English,India,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.theweek.in/news/maritime/2026/07/18/how-the-panama-canal-is-cashing-in-on-the-west-asia-conflict.html,b7a06e709016bff5c78d9cbdf3093c2e,How the Panama Canal is cashing in on the West Asia conflict,20260718T124500Z,theweek.in,English,India,Strait of Hormuz,D1_초크포인트,2026-07-18
https://aa.com.tr/en/middle-east/russia-uae-call-for-immediate-end-to-us-iran-hostilities/4002388,2d8ad3673305dabdbe1c1db33cd1ba6d,"Russia , UAE call for immediate end to US - Iran hostilities",20260718T171500Z,aa.com.tr,English,Turkey,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.benzinga.com/news/politics/26/07/60540429/iraq-syria-revive-oil-pipeline-shut-since-2003-in-bid-to-bypass-strait-of-hormuz-after-iran-war-disrupts-exports,aded034fde3eeceab0b5c1450d5c0227,"Iraq , Syria Revive Oil Pipeline Shut Since 2003 in Bid to Bypass Strait of Hormuz After Iran War Disrupts",20260718T043000Z,benzinga.com,English,United States,Strait of Hormuz,D1_초크포인트,2026-07-18
https://edition.cnn.com/2026/07/18/world/live-news/iran-war-trump,4e58afabcd4520cb051dff7d868ebf01,Live updates : US military says it has completed seventh consecutive night of strikes on Iran,20260718T064500Z,edition.cnn.com,English,United States,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.theweek.in/news/middle-east/2026/07/18/middle-east-us-strikes-iran-seventh-day-escalation.html,025341d51475f155aaf214592d23cf68,Middle East on the boil : US strikes Iran for seventh straight day ; Tehran warns of  full - scale offensive  ,20260718T030000Z,theweek.in,English,India,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.globalsecurity.org/wmd/library/news/iran/2026/07/iran-260717-azertac01.htm,a7032c4f239b447c9e06839c35aa13bf,Only 3 vessels transit Strait of Hormuz over past 24 hours amid renewed US - Iran hostilities,20260718T100000Z,globalsecurity.org,English,Syria,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.swindonadvertiser.co.uk/news/national/26288632.us-strikes-bridges-collapses-tower-key-port-iran-campaign-expands/,7139340f1d6615b4b60b2e4c34e828a6,US strikes bridges and collapses tower at key port as Iran campaign expands,20260718T001500Z,swindonadvertiser.co.uk,English,United Kingdom,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.globalsecurity.org/military/library/news/2026/07/mil-260718-rferl01.htm,10225411803d61ac9607c2c46bfeec83,"New US Attacks On Roads , Bridges Reported As Iran Hits Back At Gulf States",20260718T100000Z,globalsecurity.org,English,Syria,Strait of Hormuz,D1_초크포인트,2026-07-18
https://www.theepochtimes.com/world/us-strikes-iran-for-7th-consecutive-night-6063910,27b0583659057edc62d6983e67d3fafd,US Strikes Iran for 7th Consecutive Night,20260718T041500Z,theepochtimes.com,English,United States,Strait of Hormuz,D1_초크포인트,2026-07-18
